Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Lähteeko Vimpelistä 	Nordea 	onko se totta vai mitä tällä avauksella tarkoitettiin 
Olen myös hetken jo kauhistellut sitä kun , jos 	nordeaan 	kävelee ja astuu nurmikolle , ne ruohot menee linttaan lie noisevatko enään siitä pystyyn . 
eli 	nordea 	electron on korttini ja onko netissä ojhjeita miten paypaliin siirretään rahnaa . 
Verkkopankkiin käy vain yksi kertakäyttöinen tunnus ( 	Nordea 	) tai taulukossa oleva , satunnaisesti vaihtuva tunnus ( moni muu pankki ) , joten kunhan ei mene väärennetylle sivustolle ja anna käyttämättömiä tunnuksiaan sinne , on äärimmäisen epätodennäköistä että kukaan voisi tehdä mitään . 
Jos haluaa varmistaa , että menee aina oikeaan osoitteeseen ( vaikka 	nordea 	, 
	Nordeasta 	saa aina Nordeasta saa pienellä vilpillä aina pari miljoonaa euroa . 
Nordeasta saa aina 	Nordeasta 	saa pienellä vilpillä aina pari miljoonaa euroa . 
" Tilin saldokyselyt maksuautomaateilla , verkkopankissa ja 	Nordean 	konttoreissa ovat edelleen asiakkaille maksuttomia . 
	Nordea 	oli juuri lähettänyt pankkisuvulleni postia jossa on ohjeet puhelimeen tulevia saldotietoja varten . 
Tietysti se tekstiviesti maksaa tekstiviestin verran jolla saldokysely 	Nordean 	tilille tehdään . 
Tarvitsee vain seurata siellä annettuja ohjeita saadakseen 	Nordean 	palvelun käyttöönsä . 
Nyt vaan tulee 	nordealle 	ja sampo-pankillekkin sama . 
On mullakin sattumoisin 	nordeassa 	tili , oli pakko vaihtaa ku ei mukavasta koivunlehti pankista myöntäneet mulle sopivaa asuntolainaa .. 
Sääli , oli se koivunlehti minusta parempi paikka , 	nordea 	ei ole edes suomalaisten omistuksessa ! 
	Nordeaq 	boikotiin ...! 
SITTEN MERITA MYYTIIN ULKOMAILLE JA MUUTETTIIN 	NORDEAKSI 	JA KUPPAUS JATKUU TASAISEN VARMASTI KUNNES RYSSIVÄT TAAS JA ME AUTETAAN TAAS SITTEN KESKUSTAN JA KOKOOMUKSEN SUOSTUMUKSELLA . 
Konserni vaihtoi nimensä 2001 	Nordeaksi 	, 
	Nordealla 	omaa verkkopankkiaan voi muokata , eli kruksata sen saldokyselyn , jolloin maksu menee tai sitten arvailla mitähän MasterCard luottokortin tilitiedot ovat . 
Ei onna ainakaan 	Nordeas 	ne on luopunu kokonaan pankkikirjoista ! 
Tiedoksi : Björn Wahlroos 	Nordean 	hallituksen puheenjohtajaksi www.hs.fi. .. 
Pyllykirjan vertaileva ekonomi Aina Ilona kirjoittaa raportin 	Nordean 	toimista Pyllykirja http://www.pyllykirja.fi/2011/ 
( SYP+KOP=MERITA 	#NAME?	) " Merita-pankin toimitusjohtaja Pertti Voutilainen tuli sanoneeksi marraskuun alussa 1999 tv-uutisissa , että hänen pankillaan on hyviä ja huonoja asiakkaita . 
Maksuina köyhiltä 	Nordeassa 	, 
	Nordea 	on ruotsalainen pankki . 
Itse pidän tilini edelleen 	Nordeassa 	koska siellä on yhä edullisimmat pankkipalvelut ilman mitään bonus-shittiä . 
	Nordean 	konttoreihin ole ensi kesänä syytä niissä kengissä alkaa viemään sitä hiekkaa vähän enemmänkin . 
taitaa OP:ssakin olla sama systeemi kuin 	Nordeassa 	eli jos on tarpeeksi rahaa tilillä tai lainaa niin saa ilmaiset palvelut . 
Olikohan se raja jossain 30000€ kohdalla 	Nordeassa 	, 
Minulla on parisataa tuhatta euroa 	Nordeassa 	mutta itsepalvelumaksu menee silti , joten ylempänä se raja on . 
eläkkeet : &gt ; Ja eikös tämä 	Nordea 	ollut aikoinaan STS ; eli SUOMEN TYÖVÄENSÄÄSTÖPANKKI , myöhemmin Merita ja nyk. Nordea ?? 
eläkkeet : &gt ; Ja eikös tämä Nordea ollut aikoinaan STS ; eli SUOMEN TYÖVÄENSÄÄSTÖPANKKI , myöhemmin Merita ja nyk. 	Nordea 	?? 
Ei ollut STS vaan : PYP&gt ; SYP&gt ; Merita&gt ; 	Nordea 	PYP =Po 
hjoismaiden Yhdyspankki SYP= Suomen Yhdyspankki Sen jälkeen nimi muutettiin typeräksi Meritaksi ja nyt sitten on 	Nordea 	
jos 	nordea 	ei tykkää rahattomista mikä selittää sen että sieltä saa luottotiedoton verkkopankkitunnukset vaikkei tilille ees tule palkkatuloa .. 
" Rahaa voi lahjoittaa pankkiautomaateilla " Tuokin raha on sitten jonkun aikaa 	Nordean 	tilillä , jolloin sitä vastaan voi antaa korollista , vaikka korkeakorkoista , kulutusluottoa . 
Toisaalta jos olisit rikas niin osuuspankissa et joutuisi maksamaan palveluistasi , kuten ei 	Nordeassakaan 	joudu . 
	Nordeassa 	asuntolaina . 
Saa siitä voittoa kyllä ja rakennan sit vapaa-ajan asunnon kaikilla mausteilla eläkepäiviäni varten ja 	Nordeasta 	en enää lainaa ota ja siirrän kaikki lasten ja perheen tilit toiseen pankkiin . 
Päästyään valtaan 	Nordeassa 	hän tulee poistamaan palvelumaksut köyhiltä - tätä ainakin kovasti odotan . 
Talletin noin vuosi sitten 	Nordean 	dollaritilille dollareita palattuani Yhdysvalloista . 
No onneksi toinen tili on op niin saa siirtää 	nordealta 	rahat sinne . 
Ja nakata koko 	nordean 	kortti järveen . 
Ainankin 	Nordea 	tekee niin minulle : ilmaine luottokortti ja useista palveluista ale 50% ja kaikille perheenjäsenille . 
Sitten siellä lukee ehdoissa että jos ( ja kun talo on pakko vakuuttaa myös vakuutusyhtiössä ja lähes kaikilla on henkivakuutus joko omasta tai työn puolesta ) että jos saa muualta korvausta talosta tai kuolemantapauksista tai työkyvyttömyydestä niin 	Nordean 	vakuutus ei korvaa mitään . 
	Nordea 	on liikepankki ei ne tavallisia asiakkaita tarvi Vaihtakaa ihmeessä pankkia , jos se on suinkin mahdollista itse olen siirtänyt rahani toiseen pankkiin Asuntolainatkin on mahollaista siirtää muualle Valitettavasti siittä tulee lainaan vähän kustannuksia lisää mutta se kannattaa . 
	Nordeasta 	on sanottu että se tulee seuraavaksi keikahtamaan , juuri sen vuoksi kun pyrkivät liian isoksi köyhien kustannuksella . 
Tääl kajaanissa 	Nordea 	on antanut maahanmuuttajille tili oikeudet ja pankkikortit , mustanaan näitä immeisiä on pankissa ja automaateilla , luulen että muut pankit eivät ole tähän suostuneet ..... 
Jossa Sampo oli todettu kalleimmaksi ja sen kaveri 	Nordea 	hilaa ittensä samalle tasolle onhan Nordean suurin omistaja Sampopankki ! 
Jossa Sampo oli todettu kalleimmaksi ja sen kaveri Nordea hilaa ittensä samalle tasolle onhan 	Nordean 	suurin omistaja Sampopankki ! 
	Nordea 	RaKastaa Köyhiä ! 
Eräs 	Nordean 	rahoituskouluttaja sanoi että Nordean parhaita asiakkaita ovat köyhät koska he maksavat laskut aina myöhässä ja Nordea saa niistä aina sen huomautusmaksun joka tekee satoja miljoonia tuloja Nordealle vuodessa . 
Eräs Nordean rahoituskouluttaja sanoi että 	Nordean 	parhaita asiakkaita ovat köyhät koska he maksavat laskut aina myöhässä ja Nordea saa niistä aina sen huomautusmaksun joka tekee satoja miljoonia tuloja Nordealle vuodessa . 
Eräs Nordean rahoituskouluttaja sanoi että Nordean parhaita asiakkaita ovat köyhät koska he maksavat laskut aina myöhässä ja 	Nordea 	saa niistä aina sen huomautusmaksun joka tekee satoja miljoonia tuloja Nordealle vuodessa . 
Eräs Nordean rahoituskouluttaja sanoi että Nordean parhaita asiakkaita ovat köyhät koska he maksavat laskut aina myöhässä ja Nordea saa niistä aina sen huomautusmaksun joka tekee satoja miljoonia tuloja 	Nordealle 	vuodessa . 
ja jos vituttaa toisten suuret tulot niin ruvetkaa 	Nordean 	johtajaksi tai Björn Wahlrooksi ....... 
No irrottautuminen 	Nordeasta 	on alkanut ja olen lopettannut yhden käyttämättömän Visa kortin , josta meni kuluja pikkasen päälle euron/k , eikä pankki voinut asiasta mitenkään ilmoittaa , eipä tietenkään . 
Olen lopettanut Visan maaliskuu alkupäivinä , mutta 	Nordea 	perii maksun kortista vielä huhtikuussakin . 
Mä vaihdan pankkini 	nordeasta 	Osuuspankkiin . 
Mutta sitten iski työttömyys , jouduin realisoimaan osakkeeni ja kitkuttamaan pienellä korvauksella ja pyysin pientä lainaa , vakuutena taloni , en saanut lainaa koska ei rahattomalla ole mitään arvoa 	nordeassa 	koska en tuota pankille mitään . 
Onneksi työttömyyteni on ohi ja elämä alkaa helpottaa , tässä joku päivä marssin 	nordeaan 	ja lopetan tilini , onhan minulla jo osuuspankin tili käytössä . 
	nordea 	rahastaa köyhiä ! 
Itekki oon ollut 	nordeassa 	asiakkaana , mut enää en sinne varmasti mene , enkä vähiten tämän aiheen takia . 
	Nordea 	voisi sivuillaan ilmoittaa , että kortit täytyy irtisanoa kuukautta aikaisemmin . 
- Nallen täytyy rahastaa noi elämät roskiin sen lompsa pullottaa kuin sammakon poski Se muille mitä tekee tahdo en kuulla välistä poliitikon pyllyy vaik tahtookin nuolla 	Nordean 	asiakkaalla kohta nälkä on ' Ei Nallea oo enää tyhmempää onko kansa viisas kun Nalle kiehnää Jos valhe on suoraa ja Nalle väärää kuka Nallea valvoo ja lait määrää ? 
Kun tulee edes kohtuullisen suuri asiakaskato , niin saattaa jopa 	nordean 	pankkiväki tajuta että metsäänpäs ovat menossa . 
lähes 15v sitten vaihdoin 	nordeasta 	toiseen pankkiin enkä ole katunut hetkeäkään päätöstäni . 
	nordea 	on varakkaiden pankki . 
Polttakaa 	nordea 	, 
	Nordea 	pankin hölynpölyjutun perusteella siis Ruotsin suurin perintöasioihin erikoistunut lakifirma , sen tuomari ja Ruotsin käräjäoikeus sekä Ruotsin verovirasto eivät tiedä mitä tekevät . 
Ruotsalainen henkilöllisyystodistus ja jne. Ainoat asiat testamentissa viittaa Suomeen on vainajan 1 pankkitili 	Nordeassa 	ja se , että osa kuolinpesänosakkaista asuu Suomessa . 
Kumpi näistä mainituista tekee sen , että testamentti pitää 	Nordean 	mukaan käsitellä Suomen lakien mukaisesti ? 
Kyllä nyt on 	Nordean 	täti tainnut olla ihan oikeassa . 
Eli topicin aloittaja marssii nyt suomen käräjille ja hakee sieltä virka-apua että 	nordean 	idiootit antaa rahat tililtä . 
kenties 	nordea 	? 
Käräjät nimenomaan on vahvistanut testamentin ja sehän tarkoittaa sitä että se on lainvoimainen , ei 	nordea 	tarvitse tiedoksisaantitodistusta koska nordea ei ole se taho joka päättää että onko testamentti lainvoimainen vai ei . 
Käräjät nimenomaan on vahvistanut testamentin ja sehän tarkoittaa sitä että se on lainvoimainen , ei nordea tarvitse tiedoksisaantitodistusta koska 	nordea 	ei ole se taho joka päättää että onko testamentti lainvoimainen vai ei . 
Sillä ei ole merkitystä että minkä maan kansalainen on sen perinnön saaja tai missä maassa kyseinen perintö on , tässä tapauksessa 	nordeassa 	suomessa . 
Topicin aloittaja voisi nyt marssia sinne pankkiin ja jutella hieman 	nordean 	lakimiehen kanssa . 
Olisi silti mielenkiintoista saada lukea se teksti , josta tuo lainvoimaisuus ilmenee ; mikä sen suhde on tähän yhteen perilliseen , josta nyt 	Nordeassa 	kiikastaa . 
Toki mikään ei estä sua palkkaamasta lakimiestä jos on tuohta taskussa , marssi hänen kera 	nordeaan 	niin luulis asioihin tulevan vauhtia . 
	Nordean 	kassaneideillä tuskin on mitään lakitietämystä , enskerralla pyydä pankin lakimies paikalle . 
&lt ; -- 	nordean 	sivuilta . 
	Nordea 	ei tarvitse tiedoksiantotodistusta kun ruotsin käräjäoikeus on antanut testamentille lainvoiman . 
	Nordea 	ei sitä päätä että saako perillinen rahat vai ei koska ruotsin käräjäoikeuden päätös sitoo suomen viranomaisia ja rahalaitoksia . 
	Nordea 	ei voi kyseenalaistaa vieraan valtion virallista dokumenttia , koskien juurikin 6kk moiteaikaa tai testamentin tiedoksiantoa . 
Tarvittaessa virka-apua saa suomen käräjäoikeudesta jos 	nordean 	pellet alkaa itkemään . 
Paperipino on ollut 	Nordean 	käsittelyssä nyt viikon verran . 
	Nordean 	lakiosastoon tai kenenkään lakimieheen siellä ei saa " asiakas " yhteyttä vaan koko homma pitää hoitaa pikkukylän konttorin tiskillä / puhelimessa ihmisen kanssa , joka ei ole edes nähnyt papereita itse . 
&lt ; &lt ; Yhdeltä osakkaalta siis puuttuu tuo todistus/selvitys testamentin ( tai edes kirjeen ) vastaanottamisesta , mihin 	Nordea 	on takertunut . 
Aiemmin jo kainosti esitin : " Olisi silti mielenkiintoista saada lukea se teksti , josta tuo lainvoimaisuus ilmenee ; mikä sen suhde on tähän yhteen perilliseen , josta nyt 	Nordeassa 	kiikastaa . 
Näin ollen sillä ei pitäisi olla merkitystä että 	nordea 	vaatii tiedoksiantopaprua koska se ei perustu mihinkään lakiin sinänsä . 
Siis tältä yhdeltä jampalta 	Nordea 	haluaa allekirjoitettuna tai haastemiehen todistamana , että on nähnyt testamentin ja siihen hyväksynnän tai kielteisen vastauksen . 
Tätä siis 	Nordea 	haluaa . 
	Nordean 	mukaan jos testamenttia ei tämä henkilö hyväksy alkaa jälleen 6kk moiteaika . 
Molemmat kirjeet on haettu postista , vastakappaleet " proof of delivery " - merkinnät ovat 	Nordealla 	olevassa paperipinossa mukana . 
	Nordeahan 	on Ruotsalainen pankki , ei luulisi olevan vaikeaa lakiosaston kysyä neuvoa lahden toiselta puolelta .. 
Voihan se olla , ettei täällä Suomen 	nordeassa 	kukaan osaa puhua Ruotsia . 
Ja jos tiedoksiantopaperia ei tarvitse palauttaa tarkoittaa se sitä että 	nordeakaan 	ei sitä voi vaatia kun ruotsin lain mukaan sitä ei tarvitse palauttaa , eihän henkilö voi tuoda nordeaan sellaista paperia mitä ei ole . 
Ja jos tiedoksiantopaperia ei tarvitse palauttaa tarkoittaa se sitä että nordeakaan ei sitä voi vaatia kun ruotsin lain mukaan sitä ei tarvitse palauttaa , eihän henkilö voi tuoda 	nordeaan 	sellaista paperia mitä ei ole . 
Eihän 	nordeakaan 	voi sellaisessa tapauksessa vaatia tiedoksiantotodistusta jos henkilöä ei ole tavoitettu , muut todistusaineistot ratkaisee silloin eli tiedoksisaantitodistus ei ole suomen lain mukaan myöskään pakollista . 
Eihän 	nordeakaan 	voi sellaisessa tapauksessa vaatia tiedoksiantotodistusta jos henkilöä ei ole tavoitettu , muut todistusaineistot ratkaisee silloin eli tiedoksisaantitodistus ei ole suomen lain mukaan myöskään pakollista . 
Ja JOS testamentti Ruotsin lain mukaan on lainvoimainen , niin sitten se on lainvoimainen myös Suomen 	Nordeassa 	, 
Sen pitää kyllä 	Nordealle 	Suomessakin riittää . 
Puuttuiko tällainen todistus 	Nordean 	tarkoittamalta perilliseltä ? 
- Kun testamentti kuitenkin on käräjäoikeuden todistamana lainvoimainen , 	Nordealla 	ei pitäisi olla tarvetta/oikeutta vaatia ehkä puuttuvaa todistusta . 
Kait tajusit että kyseinen paperinivaska on 	nordean 	konttorissa . 
Ja 	Nordeassa 	on erittäin todennäköisesti kopiokone . 
Onko 	nordean 	naikkoset oikeassa vai lakimies sanna svahn . 
Odottelen 	Nordean 	vastausta ja kerron sitten lisää . 
Sain 	Nordeasta 	puhelun tänään ja nyt ei sitten kuulemma tarvitse tehdä mitään muuta kuin mennä alkuviikosta pankkiin lopettamaan tili ja siirtämään varat omalle tilille . 
Suomen 	Nordea 	on siten ollut oikeassa vaatimuksessaan - paitsi jos tiedoksiannot Ruotsin - vaikka ei Suomen - lain mukaan on kuitenkin laillisesti toimitettu kaikille . 
" Suomen 	Nordea 	on siten ollut oikeassa vaatimuksessaan " nixnax , nordea ilmoitti jo ettei se tarvitse niitä todistuksia . 
" Suomen Nordea on siten ollut oikeassa vaatimuksessaan " nixnax , 	nordea 	ilmoitti jo ettei se tarvitse niitä todistuksia . 
&gt ; &gt ; Suomen 	Nordea 	on siten ollut oikeassa vaatimuksessaan " nixnax , nordea ilmoitti jo ettei se tarvitse niitä todistuksia . 
&gt ; &gt ; Suomen Nordea on siten ollut oikeassa vaatimuksessaan " nixnax , 	nordea 	ilmoitti jo ettei se tarvitse niitä todistuksia . 
" 	Nordea 	on sittemmin todennut , että tiedoksiannot täyttävät Ruotsin lain vaatimukset , ja on sen tähden luopunut täydennysvaatimuksestaan . 
	Nordea 	on todennäköisesti tehnyt tuon päätöksen siksi , että tällä urpolla on ollut vaikeuksia tajuta , mitä " papereita ja lappuja " sinne pitää toimittaa . 
Pitkällisen väännön jälkeen pankki on todennut , että tilillä on sen verran vähän rahaa , että on rationaalisempaa olla uhraamatta caseen enää arvokasta työaikaa ja vain antaa ne hilut urpolle , ja ottaa riski siitä , että tuo yksi osakas tulee testamenttia moittimaan ja 	Nordea 	joutuu maksamaan hänelle sen hänen perintöosuutensa mukaisen muutaman prosentin tilillä olleista varoista . 
United Bankers & 	Nordea 	ilmoittavat näin : Perukirjan lisäksi yleisimmin tarvittavat asiakirjat : • testamentti • testamentin tiedoksisaanti- ja/tai hyväksymisilmoitukset/lainvoimaisuustodistus Eli tarvitaan testamentin tiedoksisaanti-ilmoitus JA/TAI hyväksymisilmoitus taikka tiedoksisaanti-ilmoitus JA lainvoimaisuustodistus . 
Sovitaan nyt sitten niin että minä , 	nordean 	lakimies , ruotsin käräjät sekä ruotsin pankki/mikälie ) ollaan väärässä , lisätään siihen vielä lakimies sanna svahn joka omassa blogissaan toteaa että pankki ei tarvitse tiedoksisaantitodistuksia mikäli testamentin saajalla on käräjien vahvistama testamentin lainvoimaisuustodistus . 
Varmaa tietoa ei ole kenelläkään siitä , mitä Ruotsissa tai 	Nordeassa 	on tapahtunut , koska asianomainen henkilö ei ole pystynyt näitä asioita kertomaan . 
	Nordean 	puolelta asia meni niin , että yksi kassaneiti otti kopion koko pinosta , joku toinen kassatäti sitten parin päivän päästä soitti ja kertoi mitä hänelle oli lakiosaston jampat kertoneet ( hanki tiedoksisaantilapuista allekirjoitukset tai lähetä haastemies hakemaan , jos ei allekirjoita niin haastemiehen todistus riittää . 
Annoin Ruotsissa asiaa hoitaneen lakifirman yhteystiedot 	Nordeaan 	ja sitten meni 5 päivää , kunnes Nordeasta soitettiin ja sanottiin ettei tarvikaan tehdä mitään muuta kuin tervetuloa lopettamaan tili . 
Annoin Ruotsissa asiaa hoitaneen lakifirman yhteystiedot Nordeaan ja sitten meni 5 päivää , kunnes 	Nordeasta 	soitettiin ja sanottiin ettei tarvikaan tehdä mitään muuta kuin tervetuloa lopettamaan tili . 
	Nordea 	on näin olle ollut oikeassa vaatiessaan puuttuvat asiakirjat . 
Ja miksi sekoitat verovirastoa asiaan , kyse on 	nordeasta 	, 
" Jollei 2-kohdassa tarkoitettu säännöstä laista tai edes asetuksesta löydy , jokainen järkevä taho - tässä 	Nordea 	- vaatii po. todistuksen lisäksi nähtäväksi tiedoksiantotodistukset ( ja hyväksymisilmoitukset ) . 
jokainen järkevä taho - tässä 	Nordea 	- vaatii po. todistuksen lisäksi nähtäväksi tiedoksiantotodistukset ( ja hyväksymisilmoitukset ) . 
" Jollei 2-kohdassa tarkoitettu säännöstä laista tai edes asetuksesta löydy , jokainen järkevä taho - tässä 	Nordea 	- vaatii po. todistuksen lisäksi nähtäväksi tiedoksiantotodistukset ( ja hyväksymisilmoitukset ) . 
Kävin lopettamassa tilin 	Nordeassa 	tänään . 
	Nordea 	vaati ensin lisäpapereita ja lopulta ei sitten tarvinnutkaan tehdä mitään . 
_Kaikki_ tarvittavat asiakirjat olivat siinä nipussa , jonka 	Nordeaan 	vein . 
	Nordea 	olisi halunnut kahdelta pesänosakkaalta tiedoksiannosta allekirjoitettuna paperin tai sitten haastemiehen todistuksella , että tiedoksianto on suoritettu ja Nordean asiajajajajantuntijat väittivät puhelimessa , että olisi alkanut _uudestaan_ 6kk . 
Nordea olisi halunnut kahdelta pesänosakkaalta tiedoksiannosta allekirjoitettuna paperin tai sitten haastemiehen todistuksella , että tiedoksianto on suoritettu ja 	Nordean 	asiajajajajantuntijat väittivät puhelimessa , että olisi alkanut _uudestaan_ 6kk . 
Käy nopeasti katsomassa 	Nordea-tiliäsi 	, nimittäin vohkin sieltä psyykkisillä voimillani jo euron . 
	Nordeassapa 	tietenkin ,, senkin jumalat , saitteko rahoillani hyvätkin humalat ? 
Maksu onnistuu tilisiirtona 	Nordean 	tililleni , tai nopeasti ja turvallisesti Paypal:in kautta . 
Kumera Drives Oy velvoitetaan lisäksi maksamaan työttömyysvakuutusrahastolle ( 	Nordea 	200118-123591 ) korvauksesta vähennetty määrä 10.629,29 euroa korkolain 4 § : n 1 momen­tin momentin mukaisine korkoineen kuukauden kuluttua tuomion antopäivästä lukien . 
Pyydä Joelia laittamaan mun 	Nordean 	tilille 400e ! 
Paljonhan on vähentynytkin , kun 	Nordeakin 	iso Firma 200 henkeä lopputilin sai . 
Oli jonotusnumerolaite , josta valittiin oma tarkoitus , ihan niinkuin 	Nordeassa 	, 
Mites SQL-serveri pöyrii 	Nordeassa 	:) 
	Nordeasta 	ei saa tiliotetta sellaiselta kuukaudelta jolloin ei ole ollut tilitapahtumia . 
	Nordea 	taitaa olla ainoa pankki joka tekee näin . 
	Nordeasta 	sanotaan etteivät voi antaa sellaista mitä ei ole olemassa ja sossu väittää että tiliote on esitettävä . 
Sossun neuvonnassa kerrotaan , että 	Nordean 	käytäntö on tiedossa ja asia korjattu , mutta saa nähdä sitten kun päätös tulee . 
Ainakin S-pankissa ja 	Nordeassa 	voi tiliotteen tulostaa vain täydeltä kalenterikuukaudelta . 
Kelpaako Kelalle 	Nordean 	maksuautomaatin kuitti maksetusta vuokrasta liitteeksi asumistuki hakemukseen vai pitääkö ottaa kopio Nordean verkkopankissa ? 
Kelpaako Kelalle Nordean maksuautomaatin kuitti maksetusta vuokrasta liitteeksi asumistuki hakemukseen vai pitääkö ottaa kopio 	Nordean 	verkkopankissa ? 
	Nordeassa 	sanoivat että maksuautomaatin kuitit kelpaa Kelaan 
	Nordealla 	korko sama , mutta järjestelykulu vain 10€/kerta . 
Tämän lisäksi kannattaa tarkastaa mahdolliset kuukausimaksut tilistä , kortista ja verkkopankkitunnuksista sen jälkeen kun täyttää sen 27. Nuokin taisivat olla sekä Danskella , että Aktialla 10€/kk , kun 	Nordeassa 	1-2€/kk . 
Sä olet varmaan 	Nordeassa 	töissä ja ajaa kullan värinen Mercedes benz . 
Toimiiko USA:ssa tai Australiassa 	Nordean 	visa elctron ? 
Minä maksoin laskun 	Nordea 	Finans/Kreditor Ab lle laskun tilinumeroon . 
ainakin löytyy 	Nordea 	Centeristä läheltä D-terminaalia . 
Terve , Minulla lukee että pitäisi selvittää voitot ja tappiot 10kpl:stä 	Nordean 	merkintäoikeuksien luovuttamisesta . 
14. Varat ja velat 14.2. Velat 27,80 € 7.4 Luotonantaja 	Nordea 	Rahoitus Suomi Oy Osuus velasta 100 % Käyttötarkoitus muu laina - - Mikä ihmeen velka ? 
Ikinä minulla ei ole 	Nordeasta 	ollut velkaa . 
Ei minulla ole edes tiliä 	Nordeassa 	, 
Kysymyksessä ovat sijoitustyyppiset tilit , esimerkiksi 	Nordean 	TalletusPlustili : " Määräaikainen tili , jolla vuosittaisen koron lisäksi on mahdollisuus hyötyä osakekurssien noususta . 
Mitäs jos olet vähän hätäinen , ei ne maksut aina näy reaaliajassa ( jos siirrän S-pankin tililtäni rahaa 	Nordean 	tililleni niin rahat lähtee S-pankista heti mutta näkyy Nordean tilillä vasta huomenna ) . 
Mitäs jos olet vähän hätäinen , ei ne maksut aina näy reaaliajassa ( jos siirrän S-pankin tililtäni rahaa Nordean tililleni niin rahat lähtee S-pankista heti mutta näkyy 	Nordean 	tilillä vasta huomenna ) . 
hehhe , mäkin tekisin niin , mut ehittiin saada suht edullinen laina 	nordeasta 	,, ehkä joku päivä vaihdankin :) 
	Nordean 	miljardivoittoille tämä voi olla pahaksi ja lipeväkielisille kravattisonneille avaimet käteen kauppiaiden provisioille . 
Heillä on 	Nordea 	rahoituksen kanssa sopimus ja maksu suoritettava eräpäivänä vaikka lopputarkastusta ei ole suoritettu eikä keittiö valmis . 
Heillä on 	Nordea 	rahoituksen kanssa sopimus ja maksu suoritettava eräpäivänä vaikka lopputarkastusta ei ole suoritettu eikä keittiö valmis . 
Heillä on 	Nordea 	rahoituksen kanssa sopimus ja maksu suoritettava eräpäivänä vaikka lopputarkastusta ei ole suoritettu eikä keittiö valmis . 
Ei 	nordeakaan 	vaadi kun ilmoitatte siittä heille että loppusuoritusta ei tule ennenkuin paikat on OK . 
Sitä syystä kai käyttävätkin 	Nordea 	rahoitusta , koska jos maksu menisi suoraan ko. firmalle , kukaan ei niitä maksaisi .... 
Mutta onneksi 	Nordea 	muisti heti luottolaskulla , vaikka emme ollet hyväksyneet asennusta ja siitä aiheutuneita vikoja .... 
Heillä on 	Nordea 	rahoituksen kanssa sopimus ja maksu suoritettava eräpäivänä vaikka lopputarkastusta ei ole suoritettu eikä keittiö valmis . 
Heillä on 	Nordea 	rahoituksen kanssa sopimus ja maksu suoritettava eräpäivänä vaikka lopputarkastusta ei ole suoritettu eikä keittiö valmis . 
http://www.finder.fi/Pankkitoimintaa/Sampo%20Oyj/HELSINKI/paattajat/152967 Suomen pankkien kuten 	Nordean 	ja Sammon tietoliikenne on kulkenut Ruotsin kautta koko 2000-luvun . 
http://www.iltasanomat.fi/viihde/art-1288335268834.html 2007 : Ruotsin kuningas palkitsee Björn Wahlroosin http://www.taloussanomat.fi/tyomarkkinat/2007/03/14/ruotsin-kuningas-palkitsi-bjorn-wahlroosin/20076436/12 2008 : Björn Wahlroos nimitettiin 	Nordea-pankin 	hallitukseen . 
http://www.talouselama.fi/uutiset/ylivertainen+bjorn+wahlroos/a2085514 2010 : 	Nordeasta 	tulee Sammon osakkuusyhtiö . 
Wahlroosin johtamat Sampo ja 	Nordea 	liitetään yhteen http://www.sampo.com/fi/konserni/sammon-vaiheet 2013 : Sammon osakekurssi kaikkien aikojen ennätykseen . 
http://www.sampo.com/fi/konserni/sammon-vaiheet 2007 - 2013 Sammon ja 	Nordean 	hallitukset ja hallintoneuvostot täytetään ruotsalaisilla jaa suomenruotsalaisilla . 
	http://fi.wikipedia.org/wiki/Nordea 	, http://fi.wikipedia.org/wiki/Sampo-konserni 2013 kesäkuu : Edward Snowden alkaa paljastaa NSA urkkineen koko maailman tietoliikennettä . 
	Nordean 	Ajassa lehdessä oli sivulla 33 purjevene . 
Netissä oli tänään Tunkin 	Nordean 	tilinumero , laittakaa hyysääjät sinne avustusta ja kirjoittakaa jokin kiva ihqu viesti siihen mukaan niin saa voimia lisää tästä kauhiasta ajojahdista toipumiseen . 
Ei tänne rupiseen Suomeen kannata jäädä jospa Tontsa toiminta tonnin sinulle 	Nordean 	pankkiin laittaisi . 
Muutamaa päivää ennen h-hetkeä tuli vielä 	Nordean 	tilitiedot ja vaatimus ennakon sekä ripsienpidennyksien maksamisesta . 
- heti kun ovesta astumme ulos , niin Bella juoksee suoraa päätä lähimpään 	Nordeaan 	ja parkkeeraa siihen :) 
* Pahin Rahan Hallitsija = Äiti , Marja Tukiainen , 	Nordeaasen 	pääkassa . 
* Pahin Rahan Hallitsija = Äiti , Marja Tukiainen , 	Nordeaasen 	pääkassa . 
Äitee 	Nordeaasesta 	pelastaa mustan lampaan . 
Railikin on varmaan samaa mieltä kunhan pääsee 	Nordean 	johtajan pallilta siihen amerikkalaistyyliseen residenssiin . 
Pyydä Joelia laittamaan mun 	Nordean 	tilille 400e ! 
Ei kovin taitavaa huijausyritystä mutta törkeää ja siihen poliisin ja myös 	Nordean 	tulee puuttua . 
Rahta pois 	Nordeasta 	kun sallii pankkitiliä käytettävän " erehdyksen vrjolla " huijaukseen . 
